instrumentId,marketValueDate,marketValue,createdAt,modifiedAt
152,2020-01-31 00:00:00.0000000,100000000.0000,2020-01-31 00:00:00,2020-01-31 00:00:00
152,2020-02-29 00:00:00.0000000,100000000.0000,2020-02-29 00:00:00,2020-02-29 00:00:00
152,2020-03-31 00:00:00.0000000,100000000.0000,2020-03-31 00:00:00,2020-03-31 00:00:00
152,2020-04-30 00:00:00.0000000,100000000.0000,2020-04-30 00:00:00,2020-04-30 00:00:00
152,2020-05-31 00:00:00.0000000,100000000.0000,2020-05-31 00:00:00,2020-05-31 00:00:00
152,2020-06-30 00:00:00.0000000,100000000.0000,2020-06-30 00:00:00,2020-06-30 00:00:00
152,2020-07-31 00:00:00.0000000,100000000.0000,2020-07-31 00:00:00,2020-07-31 00:00:00
152,2020-08-31 00:00:00.0000000,100000000.0000,2020-08-31 00:00:00,2020-08-31 00:00:00
152,2020-09-30 00:00:00.0000000,120000000.0000,2020-09-30 00:00:00,2020-09-30 00:00:00
152,2020-10-31 00:00:00.0000000,120000000.0000,2020-10-31 00:00:00,2020-10-31 00:00:00
152,2020-11-30 00:00:00.0000000,120000000.0000,2020-11-30 00:00:00,2020-11-30 00:00:00
152,2020-12-31 00:00:00.0000000,147615415.4200,2020-12-31 00:00:00,2020-12-31 00:00:00
152,2021-01-31 00:00:00.0000000,147615415.4200,2021-01-31 00:00:00,2021-01-31 00:00:00
152,2021-02-28 00:00:00.0000000,147615415.4200,2021-02-28 00:00:00,2021-02-28 00:00:00
152,2021-03-31 00:00:00.0000000,175948309.7600,2021-03-31 00:00:00,2021-03-31 00:00:00
152,2021-04-30 00:00:00.0000000,175948309.7600,2021-04-30 00:00:00,2021-04-30 00:00:00
152,2021-05-31 00:00:00.0000000,175948309.7600,2021-05-31 00:00:00,2021-05-31 00:00:00
152,2021-06-30 00:00:00.0000000,175948309.7600,2021-06-30 00:00:00,2021-06-30 00:00:00
152,2021-07-31 00:00:00.0000000,175948309.7600,2021-07-31 00:00:00,2021-07-31 00:00:00
152,2021-08-31 00:00:00.0000000,175948309.7600,2021-08-31 00:00:00,2021-08-31 00:00:00
152,2021-09-30 00:00:00.0000000,175948309.7600,2021-09-30 00:00:00,2021-09-30 00:00:00
152,2021-10-31 00:00:00.0000000,175948309.7600,2021-10-31 00:00:00,2021-10-31 00:00:00
152,2021-11-30 00:00:00.0000000,175948309.7600,2021-11-30 00:00:00,2021-11-30 00:00:00
152,2021-12-31 00:00:00.0000000,175948309.7600,2021-12-31 00:00:00,2021-12-31 00:00:00
152,2022-01-31 00:00:00.0000000,190654650.0400,2022-01-31 00:00:00,2022-01-31 00:00:00
152,2022-02-28 00:00:00.0000000,190654650.0400,2022-02-28 00:00:00,2022-02-28 00:00:00
152,2022-03-31 00:00:00.0000000,175195760.1100,2022-03-31 00:00:00,2022-03-31 00:00:00
152,2022-04-30 00:00:00.0000000,175195760.1100,2022-04-30 00:00:00,2022-04-30 00:00:00
152,2022-05-31 00:00:00.0000000,175195760.1100,2022-05-31 00:00:00,2022-05-31 00:00:00
152,2022-06-30 00:00:00.0000000,175195760.1100,2022-06-30 00:00:00,2022-06-30 00:00:00
152,2022-07-31 00:00:00.0000000,175195760.1100,2022-07-31 00:00:00,2022-07-31 00:00:00
152,2022-08-31 00:00:00.0000000,158277577.4900,2022-08-31 00:00:00,2022-08-31 00:00:00
152,2022-09-30 00:00:00.0000000,158277577.4900,2022-09-30 00:00:00,2022-09-30 00:00:00
183,2020-01-31 00:00:00.0000000,59644184.0000,2020-01-31 00:00:00,2020-01-31 00:00:00
183,2020-02-29 00:00:00.0000000,59644184.0000,2020-02-29 00:00:00,2020-02-29 00:00:00
