transactionId,instrumentId,transactionAmount,transactionCurrency,transactionDate,quantity,isCancelled,createdAt,modifiedAt,transactiontype
1,1,-566120.5200,USD,2020-09-04,20.00,False,2020-09-04 00:00:00,2020-09-04 00:00:00,BUY
2,1,-447919.5300,USD,2020-10-04,16.00,False,2020-10-04 00:00:00,2020-10-04 00:00:00,BUY
3,1,-1017150.6100,USD,2020-11-17,30.00,False,2020-11-17 00:00:00,2020-11-17 00:00:00,BUY
4,1,-615889.3600,USD,2020-12-12,22.00,False,2020-12-12 00:00:00,2020-12-12 00:00:00,BUY
5,1,916848.3800,USD,2021-01-09,-21.00,False,2021-01-09 00:00:00,2021-01-09 00:00:00,SELL
6,1,1194267.7800,USD,2021-01-19,-26.00,False,2021-01-19 00:00:00,2021-01-19 00:00:00,SELL
7,1,-278328.9700,USD,2021-01-29,6.00,False,2021-01-29 00:00:00,2021-01-29 00:00:00,BUY
8,1,-1269662.4100,USD,2021-02-03,8.00,False,2021-02-03 00:00:00,2021-02-03 00:00:00,BUY
9,1,-4177309.1200,USD,2021-02-07,30.00,False,2021-02-07 00:00:00,2021-02-07 00:00:00,BUY
10,1,5138539.3900,USD,2021-03-12,-33.00,False,2021-03-12 00:00:00,2021-03-12 00:00:00,SELL
11,1,826478.3600,USD,2021-03-13,-6.00,False,2021-03-13 00:00:00,2021-03-13 00:00:00,SELL
12,1,-5822364.3000,USD,2021-04-11,39.00,False,2021-04-11 00:00:00,2021-04-11 00:00:00,BUY
13,1,15380651.2300,USD,2021-11-17,-60.00,False,2021-11-17 00:00:00,2021-11-17 00:00:00,SELL
14,1,1365571.8400,USD,2021-11-26,-6.00,False,2021-11-26 00:00:00,2021-11-26 00:00:00,SELL
15,1,-6339128.2200,USD,2021-11-27,27.00,False,2021-11-27 00:00:00,2021-11-27 00:00:00,BUY
16,1,5399998.1100,USD,2021-12-01,-23.00,False,2021-12-01 00:00:00,2021-12-01 00:00:00,SELL
17,1,-3665482.3000,USD,2021-12-22,15.00,False,2021-12-22 00:00:00,2021-12-22 00:00:00,BUY
18,1,-9803368.3500,USD,2021-12-25,44.00,False,2021-12-25 00:00:00,2021-12-25 00:00:00,BUY
19,1,5826090.4400,USD,2022-02-09,-24.00,False,2022-02-09 00:00:00,2022-02-09 00:00:00,SELL
20,1,4411582.9000,USD,2022-03-05,-18.00,False,2022-03-05 00:00:00,2022-03-05 00:00:00,SELL
21,1,-5342917.0700,USD,2022-03-23,21.00,False,2022-03-23 00:00:00,2022-03-23 00:00:00,BUY
22,1,-6879721.3800,USD,2022-04-23,19.00,False,2022-04-23 00:00:00,2022-04-23 00:00:00,BUY
23,1,7015992.0300,USD,2022-05-23,-17.00,False,2022-05-23 00:00:00,2022-05-23 00:00:00,SELL
24,1,21668898.3100,USD,2022-06-01,-43.00,False,2022-06-01 00:00:00,2022-06-01 00:00:00,SELL
25,1,-28691924.1800,USD,2022-09-01,62.00,False,2022-09-01 00:00:00,2022-09-01 00:00:00,BUY
26,2,-3127358.6800,USD,2020-08-13,26.00,False,2020-08-13 00:00:00,2020-08-13 00:00:00,BUY
27,2,-116972.4800,USD,2020-09-11,1.00,False,2020-09-11 00:00:00,2020-09-11 00:00:00,BUY
28,2,-1477605.2500,USD,2020-09-17,13.00,False,2020-09-17 00:00:00,2020-09-17 00:00:00,BUY
29,2,-3489311.2700,USD,2020-10-17,31.00,False,2020-10-17 00:00:00,2020-10-17 00:00:00,BUY
30,2,4875324.8500,USD,2020-12-05,-47.00,False,2020-12-05 00:00:00,2020-12-05 00:00:00,SELL
31,2,-2271031.8100,USD,2021-01-16,21.00,False,2021-01-16 00:00:00,2021-01-16 00:00:00,BUY
32,2,-2411178.0900,USD,2021-01-21,23.00,False,2021-01-21 00:00:00,2021-01-21 00:00:00,BUY
33,2,1928942.4700,USD,2021-02-22,-19.00,False,2021-02-22 00:00:00,2021-02-22 00:00:00,SELL
